Roll,Marks,Comments
1828058,5,"Debouncing implemented properly, with correct timeout
Search functionality is working correctly
UI is according to the requirement"
1805460,5,"Debouncing implemented properly, with correct timeout
Search functionality is working correctly
UI is according to the requirement"
1806473,4,"Debouncing implemented properly, with correct timeout
Search functionality is working correctly"
1805523,5,"Debouncing implemented properly, with correct timeout
Search functionality is working correctly
UI is according to the requirement"
1805702,5,"Debouncing implemented properly, with correct timeout
Search functionality is working correctly
UI is according to the requirement"
1828284,5,"Debouncing implemented properly, with correct timeout
Search functionality is working correctly
UI is according to the requirement"
1828287,5,"Debouncing implemented properly, with correct timeout
Search functionality is working correctly
UI is according to the requirement"
1808048,5,"Debouncing implemented properly, with correct timeout
Search functionality is working correctly
UI is according to the requirement"
1804371,2,"Debouncing not implemented correctly
Search functionality is working correctly
UI is according to the requirement"
1830144,4,"Debouncing implemented properly, with correct timeout
UI is according to the requirement"
1806144,5,"Debouncing implemented properly, with correct timeout
Search functionality is working correctly
UI is according to the requirement"
1806275,5,"Debouncing implemented properly, with correct timeout
Search functionality is working correctly
UI is according to the requirement"
1829207,5,"Debouncing implemented properly, with correct timeout
Search functionality is working correctly
UI is according to the requirement"
1828275,5,"Debouncing implemented properly, with correct timeout
Search functionality is working correctly
UI is according to the requirement"
1805299,4,"Debouncing implemented properly, with correct timeout
Search functionality is working correctly"
1805559,5,"Debouncing implemented properly, with correct timeout
Search functionality is working correctly
UI is according to the requirement"
1804531,2,"Debouncing not implemented correctly
Search functionality is working correctly
UI is according to the requirement"
1804558,5,"Debouncing implemented properly, with correct timeout
Search functionality is working correctly
UI is according to the requirement"
1805082,5,"Debouncing implemented properly, with correct timeout
Search functionality is working correctly
UI is according to the requirement"
1805351,2,"Debouncing not implemented correctly
Search functionality is working correctly
UI is according to the requirement"
1829154,5,"Debouncing implemented properly, with correct timeout
Search functionality is working correctly
UI is according to the requirement"
1806197,5,"Debouncing implemented properly, with correct timeout
Search functionality is working correctly
UI is according to the requirement"
1830068,5,"Debouncing implemented properly, with correct timeout
Search functionality is working correctly
UI is according to the requirement"
1829130,5,"Debouncing implemented properly, with correct timeout
Search functionality is working correctly
UI is according to the requirement"
1803103,5,"Debouncing implemented properly, with correct timeout
Search functionality is working correctly
UI is according to the requirement"
1805739,5,"Debouncing implemented properly, with correct timeout
Search functionality is working correctly
UI is according to the requirement"
1805162,5,"Debouncing implemented properly, with correct timeout
Search functionality is working correctly
UI is according to the requirement"
1804395,5,"Debouncing implemented properly, with correct timeout
Search functionality is working correctly
UI is according to the requirement"
1828270,5,"Debouncing implemented properly, with correct timeout
Search functionality is working correctly
UI is according to the requirement"
1805631,4,"Debouncing implemented properly, with correct timeout
UI is according to the requirement"
1807175,5,"Debouncing implemented properly, with correct timeout
Search functionality is working correctly
UI is according to the requirement"
1805183,5,"Debouncing implemented properly, with correct timeout
Search functionality is working correctly
UI is according to the requirement"
1805147,5,"Debouncing implemented properly, with correct timeout
Search functionality is working correctly
UI is according to the requirement"
1828248,5,"Debouncing implemented properly, with correct timeout
Search functionality is working correctly
UI is according to the requirement"
1806416,5,"Debouncing implemented properly, with correct timeout
Search functionality is working correctly
UI is according to the requirement"
1803045,5,"Debouncing implemented properly, with correct timeout
Search functionality is working correctly
UI is according to the requirement"
1828180,5,"Debouncing implemented properly, with correct timeout
Search functionality is working correctly
UI is according to the requirement"